X Y Z
1.216818320928880014e+06 3.419512036834799801e+05 3.589478785983249509e+03
1.216817917795102810e+06 3.419519383421767270e+05 3.589386293116814159e+03
1.216817042875545099e+06 3.419537484765564441e+05 3.589293986198457787e+03
1.216816400418094127e+06 3.419556614730690490e+05 3.589201865228179486e+03
1.216815581492923433e+06 3.419574999934562366e+05 3.589109930205980163e+03
1.216814673566094367e+06 3.419593013827489922e+05 3.589018181131858910e+03
1.216813935557321412e+06 3.419611795873286901e+05 3.588926618005816636e+03
1.216813375234840903e+06 3.419631122160177329e+05 3.588835240827852431e+03
1.216812902534750057e+06 3.419650702791374060e+05 3.588744049597967205e+03
1.216812016955004307e+06 3.419668831615138333e+05 3.588653044316160958e+03
1.216811377266632160e+06 3.419687865318853874e+05 3.588562224982431871e+03
1.216810761464490788e+06 3.419707056146542309e+05 3.588587391596782254e+03
1.216810031612637453e+06 3.419725829518842511e+05 3.588496944159211125e+03
1.216809100759259425e+06 3.419743722640185733e+05 3.588406682669718521e+03
1.216808226314131403e+06 3.419761898270436795e+05 3.588316607128304440e+03
1.216807378369715530e+06 3.419780201645290945e+05 3.588342517534968920e+03
1.216806546192918206e+06 3.419798575490089133e+05 3.588252813889711888e+03
1.216805890670694876e+06 3.419817624364220537e+05 3.588163296192532925e+03
1.216805293693903368e+06 3.419836894518917543e+05 3.588189764443432978e+03
1.216804722427487839e+06 3.419856234521207516e+05 3.588100618642411519e+03
1.216804168938496383e+06 3.419875635825428180e+05 3.588011658789468584e+03
1.216803710606556153e+06 3.419895285148605471e+05 3.587922884884604628e+03
1.216803199617200997e+06 3.419914801539179753e+05 3.587834296927818741e+03
1.216802654385021888e+06 3.419934229600061080e+05 3.587861694919111414e+03
1.216802082568962360e+06 3.419953582177559729e+05 3.587773478858482576e+03
1.216801436490341090e+06 3.419972697240473353e+05 3.587685448745932263e+03
1.216800859075160231e+06 3.419992021439786768e+05 3.587597604581460473e+03
1.216800372777449898e+06 3.420011603065608069e+05 3.587509946365067663e+03
1.216800030514776707e+06 3.420031420790769625e+05 3.587422474096752921e+03
1.216799906872507650e+06 3.420051561215191614e+05 3.587335187776516705e+03
1.216799729151898297e+06 3.420071564045140403e+05 3.587248087404359012e+03
1.216799136131661478e+06 3.420090751413120306e+05 3.587161172980280298e+03
1.216798909551391145e+06 3.420110781959290616e+05 3.586958644504279619e+03
1.216798664858133066e+06 3.420130785903184442e+05 3.586756301976357463e+03
1.216798468532836065e+06 3.420150812968888204e+05 3.586669945396514322e+03
1.216798384180095280e+06 3.420170854644635110e+05 3.586467974764749215e+03
1.216798625040984480e+06 3.420190719848724548e+05 3.586150390081063506e+03
1.216798200801912928e+06 3.420210351241984754e+05 3.586064591345455483e+03
1.216797892311046831e+06 3.420230188224453013e+05 3.585863178557926403e+03
1.216797705244856421e+06 3.420250223284517415e+05 3.585661951718475393e+03
1.216797940389273921e+06 3.420269930003155605e+05 3.585460910827103362e+03
1.216797061157328542e+06 3.420284837353985058e+05 3.585144255883809819e+03
1.216796810070306063e+06 3.420304819123751367e+05 3.585059386888594418e+03
1.216796798184273764e+06 3.420324990256087622e+05 3.584974703841457995e+03
1.216796903127101948e+06 3.420345137314568856e+05 3.584774406742400060e+03
1.216796877990263980e+06 3.420365284490479389e+05 3.584690095591420231e+03
