"Cylinders","Displacement","HP","Weight","Year","Acceleration","MPG"
8,307,130,3504,70,12,18
8,350,165,3693,70,11.5,15
8,318,150,3436,70,11,18
8,304,150,3433,70,12,16
8,302,140,3449,70,10.5,17
8,429,198,4341,70,10,15
8,454,220,4354,70,9,14
8,440,215,4312,70,8.5,14
8,455,225,4425,70,10,14
8,390,190,3850,70,8.5,15
8,383,170,3563,70,10,15
8,340,160,3609,70,8,14
8,400,150,3761,70,9.5,15
8,455,225,3086,70,10,14
4,113,95,2372,70,15,24
6,198,95,2833,70,15.5,22
6,199,97,2774,70,15.5,18
6,200,85,2587,70,16,21
4,97,88,2130,70,14.5,27
4,97,46,1835,70,20.5,26
4,110,87,2672,70,17.5,25
4,107,90,2430,70,14.5,24
4,104,95,2375,70,17.5,25
4,121,113,2234,70,12.5,26
6,199,90,2648,70,15,21
8,360,215,4615,70,14,10
8,307,200,4376,70,15,10
8,318,210,4382,70,13.5,11
8,304,193,4732,70,18.5,9
4,97,88,2130,71,14.5,27
4,140,90,2264,71,15.5,28
4,113,95,2228,71,14,25
6,232,100,2634,71,13,19
6,225,105,3439,71,15.5,16
6,250,100,3329,71,15.5,17
6,250,88,3302,71,15.5,19
6,232,100,3288,71,15.5,18
8,350,165,4209,71,12,14
8,400,175,4464,71,11.5,14
8,351,153,4154,71,13.5,14
8,318,150,4096,71,13,14
8,383,180,4955,71,11.5,12
8,400,170,4746,71,12,13
8,400,175,5140,71,12,13
6,258,110,2962,71,13.5,18
4,140,72,2408,71,19,22
6,250,100,3282,71,15,19
6,250,88,3139,71,14.5,18
4,122,86,2220,71,14,23
4,116,90,2123,71,14,28
4,79,70,2074,71,19.5,30
4,88,76,2065,71,14.5,30
4,71,65,1773,71,19,31
4,72,69,1613,71,18,35
4,97,60,1834,71,19,27
4,91,70,1955,71,20.5,26
4,113,95,2278,72,15.5,24
4,97,80,2126,72,17,25
4,97,54,2254,72,23.5,23
4,140,90,2408,72,19.5,20
4,122,86,2226,72,16.5,21
8,350,165,4274,72,12,13
8,400,175,4385,72,12,14
8,318,150,4135,72,13.5,15
8,351,153,4129,72,13,14
8,304,150,3672,72,11.5,17
8,429,208,4633,72,11,11
8,350,155,4502,72,13.5,13
8,350,160,4456,72,13.5,12
8,400,190,4422,72,12.5,13
3,70,97,2330,72,13.5,19
8,304,150,3892,72,12.5,15
8,307,130,4098,72,14,13
8,302,140,4294,72,16,13
8,318,150,4077,72,14,14
4,121,112,2933,72,14.5,18
4,121,76,2511,72,18,22
4,120,87,2979,72,19.5,21
4,96,69,2189,72,18,26
4,122,86,2395,72,16,22
4,97,92,2288,72,17,28
4,120,97,2506,72,14.5,23
4,98,80,2164,72,15,28
4,97,88,2100,72,16.5,27
8,350,175,4100,73,13,13
8,304,150,3672,73,11.5,14
8,350,145,3988,73,13,13
8,302,137,4042,73,14.5,14
8,318,150,3777,73,12.5,15
8,429,198,4952,73,11.5,12
8,400,150,4464,73,12,13
8,351,158,4363,73,13,13
8,318,150,4237,73,14.5,14
8,440,215,4735,73,11,13
8,455,225,4951,73,11,12
8,360,175,3821,73,11,13
6,225,105,3121,73,16.5,18
6,250,100,3278,73,18,16
6,232,100,2945,73,16,18
6,250,88,3021,73,16.5,18
6,198,95,2904,73,16,23
4,97,46,1950,73,21,26
8,400,150,4997,73,14,11
8,400,167,4906,73,12.5,12
8,360,170,4654,73,13,13
8,350,180,4499,73,12.5,12
6,232,100,2789,73,15,18
4,97,88,2279,73,19,20
4,140,72,2401,73,19.5,21
4,108,94,2379,73,16.5,22
3,70,90,2124,73,13.5,18
4,122,85,2310,73,18.5,19
6,155,107,2472,73,14,21
4,98,90,2265,73,15.5,26
8,350,145,4082,73,13,15
8,400,230,4278,73,9.5,16
4,68,49,1867,73,19.5,29
4,116,75,2158,73,15.5,24
4,114,91,2582,73,14,20
4,121,112,2868,73,15.5,19
8,318,150,3399,73,11,15
4,121,110,2660,73,14,24
6,156,122,2807,73,13.5,20
8,350,180,3664,73,11,11
6,198,95,3102,74,16.5,20
6,232,100,2901,74,16,19
6,250,100,3336,74,17,15
4,79,67,1950,74,19,31
4,122,80,2451,74,16.5,26
4,71,65,1836,74,21,32
4,140,75,2542,74,17,25
6,250,100,3781,74,17,16
6,258,110,3632,74,18,16
6,225,105,3613,74,16.5,18
8,302,140,4141,74,14,16
8,350,150,4699,74,14.5,13
8,318,150,4457,74,13.5,14
8,302,140,4638,74,16,14
8,304,150,4257,74,15.5,14
4,98,83,2219,74,16.5,29
4,79,67,1963,74,15.5,26
4,97,78,2300,74,14.5,26
4,76,52,1649,74,16.5,31
4,83,61,2003,74,19,32
4,90,75,2125,74,14.5,28
4,90,75,2108,74,15.5,24
4,116,75,2246,74,14,26
4,120,97,2489,74,15,24
4,108,93,2391,74,15.5,26
4,79,67,2000,74,16,31
6,225,95,3264,75,16,19
6,250,105,3459,75,16,18
6,250,72,3432,75,21,15
6,250,72,3158,75,19.5,15
8,400,170,4668,75,11.5,16
8,350,145,4440,75,14,15
8,318,150,4498,75,14.5,16
8,351,148,4657,75,13.5,14
6,231,110,3907,75,21,17
6,250,105,3897,75,18.5,16
6,258,110,3730,75,19,15
6,225,95,3785,75,19,18
6,231,110,3039,75,15,21
8,262,110,3221,75,13.5,20
8,302,129,3169,75,12,13
4,97,75,2171,75,16,29
4,140,83,2639,75,17,23
6,232,100,2914,75,16,20
4,140,78,2592,75,18.5,23
4,134,96,2702,75,13.5,24
4,90,71,2223,75,16.5,25
4,119,97,2545,75,17,24
6,171,97,2984,75,14.5,18
4,90,70,1937,75,14,29
6,232,90,3211,75,17,19
4,115,95,2694,75,15,23
4,120,88,2957,75,17,23
4,121,98,2945,75,14.5,22
4,121,115,2671,75,13.5,25
4,91,53,1795,75,17.5,33
4,107,86,2464,76,15.5,28
4,116,81,2220,76,16.9,25
4,140,92,2572,76,14.9,25
4,98,79,2255,76,17.7,26
4,101,83,2202,76,15.3,27
8,305,140,4215,76,13,17.5
8,318,150,4190,76,13,16
8,304,120,3962,76,13.9,15.5
8,351,152,4215,76,12.8,14.5
6,225,100,3233,76,15.4,22
6,250,105,3353,76,14.5,22
6,200,81,3012,76,17.6,24
6,232,90,3085,76,17.6,22.5
4,85,52,2035,76,22.2,29
